,base_market,quote_market,hedge_ratio,half_life
117,XTZ-USD,DOT-USD,0.17198904020278932,3.0
118,XTZ-USD,NEAR-USD,0.45374951526787766,10.0
119,XTZ-USD,ZRX-USD,4.8486990088616855,5.0
120,XTZ-USD,XLM-USD,11.806194008359155,13.0
121,BTC-USD,ICP-USD,4045.438893406882,12.0
122,BTC-USD,DOT-USD,3585.0837433200772,3.0
123,BTC-USD,NEAR-USD,9455.71333316812,13.0
124,BTC-USD,ZRX-USD,101065.49303276306,6.0
125,LINK-USD,YFI-USD,0.0009504432158509367,4.0
126,LINK-USD,ICP-USD,1.2632847923344988,10.0
127,LINK-USD,DOT-USD,1.1199530865742156,3.0
128,LINK-USD,NEAR-USD,2.9525500398263245,11.0
129,LINK-USD,EOS-USD,6.527681717647967,3.0
130,LINK-USD,ZRX-USD,31.569698640314382,6.0
131,LINK-USD,LTC-USD,0.0782390552294049,4.0
132,LINK-USD,BCH-USD,0.05357570637890349,2.0
133,LINK-USD,AVAX-USD,0.3984054882459737,3.0
134,LINK-USD,XLM-USD,76.91993218936464,3.0
135,LINK-USD,RUNE-USD,3.9444858275191463,1.0
136,COMP-USD,TRX-USD,821.2426162850994,18.0
137,COMP-USD,NEAR-USD,21.833047919512698,18.0
138,COMP-USD,EOS-USD,48.2072822142234,16.0
139,COMP-USD,UNI-USD,7.747947277354387,16.0
140,COMP-USD,ETC-USD,2.309203232924298,17.0
141,COMP-USD,LTC-USD,0.5776680584104599,17.0
142,COMP-USD,XMR-USD,0.29302012073146416,18.0
143,COMP-USD,MATIC-USD,50.5077049671168,7.0
144,COMP-USD,BCH-USD,0.3955389721650995,17.0
145,COMP-USD,XLM-USD,568.1174430860973,17.0
146,COMP-USD,RUNE-USD,29.14455637348952,2.0
147,YFI-USD,ICP-USD,1329.2094484823617,15.0
148,YFI-USD,DOT-USD,1178.1356578610691,3.0
149,YFI-USD,NEAR-USD,3107.5152345548086,14.0
150,YFI-USD,EOS-USD,6863.489152949494,11.0
151,YFI-USD,BCH-USD,56.330286420400505,10.0
152,YFI-USD,AVAX-USD,418.9935965134875,5.0
153,YFI-USD,XLM-USD,80891.34119223592,7.0
154,ICP-USD,DOT-USD,0.8855251971376653,4.0
155,ICP-USD,NEAR-USD,2.3376169908473887,7.0
156,ICP-USD,ZRX-USD,24.97137356881816,5.0
157,DOT-USD,DOGE-USD,71.61683762689111,5.0
158,DOT-USD,NEAR-USD,2.63425181465645,5.0
159,DOT-USD,EOS-USD,5.817883247163654,5.0
160,DOT-USD,ZRX-USD,28.1517099971929,4.0
161,DOT-USD,LTC-USD,0.06972144586370183,5.0
162,DOT-USD,BCH-USD,0.04775163175149639,4.0
163,DOT-USD,AVAX-USD,0.35516575704193504,3.0
164,DOT-USD,XLM-USD,68.57039436006924,3.0
165,DOGE-USD,EOS-USD,0.08119585226495778,7.0
166,DOGE-USD,ZRX-USD,0.3924728991566103,18.0
167,DOGE-USD,UNI-USD,0.013051335726397488,3.0
168,DOGE-USD,LTC-USD,0.0009734247757324504,4.0
169,DOGE-USD,XMR-USD,0.0004937930197499909,4.0
170,DOGE-USD,BCH-USD,0.0006662949999248406,13.0
171,DOGE-USD,AVAX-USD,0.004954450479852005,12.0
172,DOGE-USD,XLM-USD,0.9567235849136819,10.0
173,DOGE-USD,RUNE-USD,0.049057615891743886,1.0
174,TRX-USD,EOS-USD,0.05866890190100376,22.0
175,TRX-USD,MKR-USD,8.997820961341447e-05,15.0
176,TRX-USD,UNI-USD,0.009431113065652879,10.0
177,TRX-USD,ETC-USD,0.002812193368639515,7.0
178,TRX-USD,LTC-USD,0.0007034988404545403,9.0
179,TRX-USD,XMR-USD,0.0003568420698235508,11.0
180,TRX-USD,MATIC-USD,0.06142863188296185,6.0
181,TRX-USD,AVAX-USD,0.003579857054457114,22.0
182,TRX-USD,RUNE-USD,0.03545513700993594,1.0
183,NEAR-USD,ZRX-USD,10.671942168683923,7.0
184,NEAR-USD,BCH-USD,0.018082851820289434,19.0
185,NEAR-USD,AVAX-USD,0.13453117422480493,20.0
186,NEAR-USD,XLM-USD,25.968794496278182,19.0
187,EOS-USD,XLM-USD,11.78176077288666,9.0
188,ZRX-USD,BCH-USD,0.0016948411076479002,11.0
189,ZRX-USD,XLM-USD,2.4337004675721072,10.0
190,UNI-USD,XMR-USD,0.037828384479711,6.0
191,ETC-USD,LTC-USD,0.25010101629718046,8.0
192,ETC-USD,XMR-USD,0.1268757246383318,5.0
193,LTC-USD,XMR-USD,0.507209664015849,5.0
194,LTC-USD,BCH-USD,0.6844226764665663,19.0
195,LTC-USD,AVAX-USD,5.0888217743223745,14.0
196,LTC-USD,XLM-USD,982.6807106512117,17.0
197,BCH-USD,AVAX-USD,7.435169513326901,6.0
198,AVAX-USD,XLM-USD,193.03929338805727,6.0
